,data_filepath,topics,alpha,eta,iterations,passes,decay,coherence
80,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,10,0.01,0.001,50,1,0.5,0.09967116626847262
81,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,10,0.01,0.001,50,1,0.99,0.07704123528487651
82,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,10,0.01,0.001,50,10,0.5,0.22925872976160783
83,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,10,0.01,0.001,50,10,0.99,0.10799369280852593
84,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,10,0.01,0.001,100,1,0.5,0.08901000092769865
85,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,10,0.01,0.001,100,1,0.99,0.07711837115766476
86,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,10,0.01,0.001,100,10,0.5,0.2153966509893855
87,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,10,0.01,0.001,100,10,0.99,0.09715878357995425
88,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,10,0.01,0.01,50,1,0.5,0.09568191085050884
89,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,10,0.01,0.01,50,1,0.99,0.0787386116415204
90,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,10,0.01,0.01,50,10,0.5,0.23248269315380904
91,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,10,0.01,0.01,50,10,0.99,0.11186355153687015
92,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,10,0.01,0.01,100,1,0.5,0.08759924082601016
93,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,10,0.01,0.01,100,1,0.99,0.07401070474311425
94,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,10,0.01,0.01,100,10,0.5,0.21184640497988108
95,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,10,0.01,0.01,100,10,0.99,0.09742903024612212
96,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,30,symmetric,auto,50,1,0.5,0.21031531299722406
97,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,30,symmetric,auto,50,1,0.99,0.1408664285863055
98,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,30,symmetric,auto,50,10,0.5,0.3980720854637478
99,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,30,symmetric,auto,50,10,0.99,0.2002634791136422
100,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,30,symmetric,auto,100,1,0.5,0.20213553519075766
101,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,30,symmetric,auto,100,1,0.99,0.14221326173550922
102,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,30,symmetric,auto,100,10,0.5,0.3995471426748996
103,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,30,symmetric,auto,100,10,0.99,0.20514059847609595
104,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,30,symmetric,0.001,50,1,0.5,0.17439401931212203
105,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,30,symmetric,0.001,50,1,0.99,0.14151545562472942
106,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,30,symmetric,0.001,50,10,0.5,0.3709055811568913
107,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,30,symmetric,0.001,50,10,0.99,0.20767740636050483
108,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,30,symmetric,0.001,100,1,0.5,0.1726502326338892
109,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,30,symmetric,0.001,100,1,0.99,0.14162913468801708
110,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,30,symmetric,0.001,100,10,0.5,0.36366886779670954
111,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,30,symmetric,0.001,100,10,0.99,0.1917871027936126
112,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,30,symmetric,0.01,50,1,0.5,0.1798929078463814
113,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,30,symmetric,0.01,50,1,0.99,0.14146335833393006
114,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,30,symmetric,0.01,50,10,0.5,0.38364625115338147
115,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,30,symmetric,0.01,50,10,0.99,0.20260482296581384
116,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,30,symmetric,0.01,100,1,0.5,0.1695937406875729
117,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,30,symmetric,0.01,100,1,0.99,0.14120984600682113
118,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,30,symmetric,0.01,100,10,0.5,0.3868084141764953
119,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,30,symmetric,0.01,100,10,0.99,0.2012900528537669
120,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,30,asymmetric,auto,50,1,0.5,0.2662089700485012
121,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,30,asymmetric,auto,50,1,0.99,0.16201608740284723
122,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,30,asymmetric,auto,50,10,0.5,0.4280466823841675
123,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,30,asymmetric,auto,50,10,0.99,0.26809718613118266
124,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,30,asymmetric,auto,100,1,0.5,0.26619540701906136
125,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,30,asymmetric,auto,100,1,0.99,0.16290725222955382
126,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,30,asymmetric,auto,100,10,0.5,0.4403135873542826
127,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,30,asymmetric,auto,100,10,0.99,0.27907363817728054
128,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,30,asymmetric,0.001,50,1,0.5,0.2129272570285966
129,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,30,asymmetric,0.001,50,1,0.99,0.16122783894854376
130,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,30,asymmetric,0.001,50,10,0.5,0.382074191809978
131,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,30,asymmetric,0.001,50,10,0.99,0.24328954917842793
132,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,30,asymmetric,0.001,100,1,0.5,0.22037857457569685
133,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,30,asymmetric,0.001,100,1,0.99,0.1601643990855133
134,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,30,asymmetric,0.001,100,10,0.5,0.38797615938562685
135,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,30,asymmetric,0.001,100,10,0.99,0.2559183132552814
136,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,30,asymmetric,0.01,50,1,0.5,0.21465136706698418
137,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,30,asymmetric,0.01,50,1,0.99,0.15981850851606155
138,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,30,asymmetric,0.01,50,10,0.5,0.38077296387471765
139,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,30,asymmetric,0.01,50,10,0.99,0.2460525928155091
140,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,30,asymmetric,0.01,100,1,0.5,0.22974279891777707
141,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,30,asymmetric,0.01,100,1,0.99,0.15771725951032922
142,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,30,asymmetric,0.01,100,10,0.5,0.4118781942814605
143,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,30,asymmetric,0.01,100,10,0.99,0.2592968724575354
144,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,30,0.001,auto,50,1,0.5,0.19255127338445738
145,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,30,0.001,auto,50,1,0.99,0.13730990903805937
146,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,30,0.001,auto,50,10,0.5,0.39495683600940995
147,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,30,0.001,auto,50,10,0.99,0.19724371096248736
148,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,30,0.001,auto,100,1,0.5,0.19221766554317943
149,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,30,0.001,auto,100,1,0.99,0.13774746397977974
150,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,30,0.001,auto,100,10,0.5,0.4121324738942425
151,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,30,0.001,auto,100,10,0.99,0.19809113483819032
152,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,30,0.001,0.001,50,1,0.5,0.1925527498612087
153,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,30,0.001,0.001,50,1,0.99,0.1376612886344032
154,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,30,0.001,0.001,50,10,0.5,0.38329083381725987
155,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,30,0.001,0.001,50,10,0.99,0.19073551855963727
156,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,30,0.001,0.001,100,1,0.5,0.17704875289516936
157,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,30,0.001,0.001,100,1,0.99,0.13986499375349865
158,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,30,0.001,0.001,100,10,0.5,0.3764487647035428
159,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,30,0.001,0.001,100,10,0.99,0.19931985281314749
160,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,30,0.001,0.01,50,1,0.5,0.19752745025678248
161,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,30,0.001,0.01,50,1,0.99,0.13812174572014502
162,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,30,0.001,0.01,50,10,0.5,0.3815839342045954
163,data\mwe_lemmas_stems_nopunct_nostopw_bigram_trigram.json.gz,30,0.001,0.01,50,10,0.99,0.19391833273899042
